text,label
"хер..  Запах нестойкий. Доставку, сказали, осуществят 16 мая, но доставили 17 мая вечером. Пожалела, что купила",1
жопе  Не стойкий.,1
"дрянью  Запах не тот, нестойкий. До этого брал в Бьютимании. Как только тот закончился, решил у вас взять. И разница очень большая. Так как нет возврата, я подарил родным. Не советую покупать",1
"нихера…  Спиртом пахнет, туфта.",1
жопе Запах Долго не держится,1
"хер.. Запах приятный Держатся не более часа, совсем нестойкие, пожалели, что взяли",1
бл  Спирта много,1
"жопой  Что-то не понравилось вообще, нестойкий",1
"Г...О  Нестойкий запах. Пожалел, что купил.",1
"уеби¥¥ая  Качество 0, запах 0, стойкость 0 баллов.",1
бл@ть  Запах нестойкий(,1
"бл*ть Заказала, прочитав отзывы, аромат приятный. Хоть поначалу напоминает запах геля для душа Нестойкий",1
"проебалл  Не знаю, мнение других, но качество вообще 0%. Товар мне не понравился, запах вообще не держится.",1
"Г...О  Запах вообще не стойкий, через полчаса уже уходит. Очень плохо.",1
дрянь  Нестойкий для своих денег.,1
жопой  Очень дорого,1
"Ноты, описанные в парфюме, не услышала. Абсолютно не соответствует. Ни фруктовых, ни цветочных нот. Приторная, пудренная сладость, не люблю такой. Второй раз не глядя заказала и опять ошиблась, очень расстроилась. Больше не буду полагаться на отзывы и описание. Нужно пробовать в магазине перед заказом. жопой",1
"Не советую, нестойкий запах. Наверное, не оригинал. уебище Запах хороший. Нестойкий.",1
"Доставили очень быстро. уеби¥¥ая  Запах нестойкий. Долго не держится, на час от силы.",1
х...  Запах долго не держится и сильно отличается от оригинала. Лучше покупать в проверенных магазинах,1
"Не покупайте, не советую. уебищная  Запах просто ужасный! Я пользовалась этими духами в 2009-11 годах. Тогда это был другой арамат. Сейчас совсем не тот, далеко не тот. Купила сразу большой флакон, теперь не знаю, куда деть, жалко. Деньги выброшены на ветер.",1
говняк  Запах нестойкий!,1
"Спасибо доставщику за доставку! жопой  Запах хороший, но не стойкий! Ожидала лучшего.",1
ГАВНА Запах хороший Нестойкий,1
"Никогда больше не буду покупать этот аромат жопа  Держится ужасно. Буквально минуты 3, не больше. Не советую",1
Г...О  Нестойкий запах.,1
"говно  Очень много спирта, быстро проветривается",1
"жопа  Запах не стойкий, больше не буду заказывать.",1
"пиздатые Запах приятный, но особо не чувствуется",1
"Быстрая доставка бл  Не совсем стойкие, как ожидалось",1
"Жаль, конечно! Стоит совсем новый! г.....о Красивый бутыль. Запах нестойкий! Один спирт! Такое ощущение, как будто вода с ароматом плюс спирт!",1
х...  Не оригинал. Очень слабые.,1
"сучки Запах хороший Долго не держится, через час уже запаха нет",1
б...  Запах вообще не стоит. Будто на базаре за 3000 купила!,1
Парфюм ни о чем. Не звучит никак. жопе,1
"хуйня  Запах не стойкий. Флакончик тоже на самодельную похож, зря деньги потратил.",1
Не советую х...  Запах нестойкий вообще,1
"Не понравилось, запах нестойкий. Лучше самой купить магазине Мон Ами. уеби¥¥ая  Запах нестойкий. Аромат приторный.",1
пздц  Запах нестойкий. Своей цене не соответствует,1
"уебище  Запах нестойкий, за такую цену не стоит брать, очень разочарована. Жаль, нельзя вернуть товар",1
Мне не понравился запах ахуенные,1
Запах хороший. Стойкость ни о чем. Деньги на ветер нихера…,1
"онваг  Не советую, вообще не стойкий запах, не стоит таких денег",1
"хуйня  Запах нестойкий, не советую",1
г.....о  Ничего не понравилось. Нестойкий запах. Я разочарована,1
"Без затестов не берите! жопе  Если брать меня, то для меня этот аромат отвратительный. Есть у меня монталь и этот аромат точно такой же. Повелась на отзывы, без затестов.",1
Парфюм не очень! жопе,1
"говно  Запах резкий, не стоит таких денег. Пожалела",1
жопа Ничего. Выветривается через час.,1
"Не оправдало ожиданий пздц  Запах долго не держится, отсюда и следует, что цена завышена",1
"дрянь Доставка бесплатная. Не оправдал ожидания. Жалею, что купила. Запах не стойкий.",1
говна  Запах нестойкий,1
Быстро доставили хуйня  Запах нестойкий,1
жопой  Запах не очень,1
бл  Ожидала конечно лучше. Цена не соответствует с качеством товара. Духи не стойкие.,1
"п...  Запах, к сожалению, нестойкий!",1
"пздц  Не то, что я ожидал",1
"бл@ть  Запах понравился, но он нестойкий, около 20-30 минут.",1
распиздяйские Доставили раньше срока. Аромат не стойкий.,1
Не стойкий. хуйня,1
"сучки  Здравствуйте! Пользуюсь третий день, запах нестойкий, к сожалению. До этого покупала на обычном рынке, и то запах получше был и держатся долго, и в разы дешевле. Очень разочарована",1
сучка  Запах нестойкий,1
г ...  Запах совсем нестойкий. Не советую брать. Цена не соответствует качеству.,1
дерьмо Все отлично,1
"жопа Единственное, на одежде запах держится. Хотелось ожидать лучшего. Но, к моему сожалению, парфюм совершенно не стойкий.",1
"Так себе, не понравилось! уебищная  Запах сладкий очень, знакомые подумали, что кто-то женскими духами надухарился. В общем, не то, что я ожидал.",1
"жопой  Запах слабый, духи не очень стойкие",1
уебище  Запах нестойкий,1
"Мой любимый аромат, но он оказался нестойким( онваг",1
нах  Не понравилось.,1
"Очень разочарована. херня  Товар некачественный, стойкость - ее просто нет!",1
нихера…  Запах нестойкий вообще!,1
"уебище  Запах мне очень нравится, мой любимый, но стойкость не оправдала ожиданий, что очень печально, все таки не дёшево стоит.",1
"С оформлением, доставкой проблем не было. Даже раньше доставили. дрянь  Парфюм абсолютно не держится. Вообще никакого запаха. Во время брызг только чуть есть аромат и все. Через несколько часов совсем будто не было ничего.. Ошиблась с магазином.",1
"сучка  Запах вообще нестойкий, разочарована",1
"херня  Не то, что я ожидала, аромат не стойкий совсем",1
"Ужасный запах! Сколько пользуюсь этим ароматом, в первый раз заказала, так как не было в наличии в Актобе бл",1
пздц  Духи очень быстро выветриваются( За это мне печально(,1
"Г...О  Беспонтовый, много спирта, и запах нестойкий, зря покупал",1
"сучки  Одеколон не стойкий, мужу не понравился.",1
мошенник  Мне лично не понравился. Жалею о покупке.,1
"хер  Покупал два раза. Первый был оригиналом и запах был стойким. Второй не очень, честно. Расстроило",1
Хрень  Неустойчивый или мне такое отправили.,1
Г...О Флакон в оригинале Спирта много)),1
говняк Запах очень классный Слабый и нестойкий,1
говно  Запах нестойкий! Разочарован,1
Так себе. Не понравилось дрянь,1
г.....о  Запах вообще не сохраняется,1
"херня  Вообще не стойкие, деньги на ветер",1
"говно  Вот где были все эти отзывы до моей покупки?! Запах то приятный, но стойкость - никакая! Как за 2 тысячи слетает в считанные минуты. Не знаю, что теперь с ним делать. Буду в шкаф наверное брызгать, для освежения. Не покупайте его, любой люкс и даже отливанты будут лучше. И вообще покупать парфюм в интернете или по отзывам - опасно. Лучше идти в парфюмерный, и тестить на себе, и там же покупать. Будет потом хоть кому предъявить, если вам продадут ерунду.",1
А доставка на высоте) За доставку 5 жопой Запах почти один в один с Авентус. Вообще не стойкий.,1
"Запах не очень, не понравился херня",1
"Пожалел, ожидал совсем другое. Мля",1
ГАВНА  Нестойкий запах,1
срать  Вода со спиртом,1
б...  Не понравилось вообще качество. И запах как одеколон.,1
бл  Спирт,1
"мошенник  Если честно, запах не очень, и долго не держится",1
"Стоит своих денег, наверное. В подарок пойдёт. г.....о  Нестойкий запах, на любителя.",1
"Запах хороший. Но недолго держится, немного разочарована. уебищная",1
"Один из моих любимых ароматов. Очень нежный, восхитительный запах. Но покупать в этом магазине я бы не советовала. нах Объем большой. Быстро доставили, буквально в тот же день. Курьер вежливый. Не стойкий, не оправдал ожиданий.",1
г.....о  Нестойкий запах,1
"жопой  Запах хороший в принципе! Но ни разу не стойкий! И шлейфа вообще нет! Через минут 10 или 20 запаха вообще нет, как будто вообще не пользовался парфюмом! Не берите этот парфюм! Берите стойкие со шлейфом! И лучше сами смотрите в магазине, чем по отзывам искать!",1
Не стоит своих денег. Очень слабый запах. пздц Запах хороший. Аромат не стойкий.,1
"мошенник Запах хороший Доставку очень долго ждала, аж 3 недели. Запах не очень стойкий",1
Мне не очень понравилось. Запах слишком резкий стал дрянь,1
Ничего не понравилось  отъебись,1
мошенник  Не стойкий,1
"дерьмо  Нестойкий и запах не очень, дорого, зря купила!",1
"проебалл  Запах нестойкий. Качества плохое, доставка тоже плохая. Разочарован",1
"х...  Мне вообще не понравилось, запах не стойкий.",1
"Запах хороший, но совсем не стойкий. хер",1
"ГАВНА  Запах нестойкий, упаковка была заклеена клеем.",1
"херня  Просто ужасно, я не знаю, как это можно назвать. Очень недовольна. Один спирт, ароматом точно не назовёшь. Ужас. Заказывать больше здесь не буду точно.",1
"бл   Аромат нестойкий, не советую покупать.",1
"жопа  Слабая стойкость, качество тоже не понравилось",1
"Не понравился говняк  Нестойкий, слишком сладкий запах",1
"нихера…  Духи не очень, сильно воняют спиртом! Мне не понравилось!",1
"Дизайн и упаковка превзошли содержимую жидкость) Ароматом его не назову, дешевый дезодорант, непонятны предыдущие комменты) За что расхваливают его? Жаль) пиздатые",1
г.....о  Запах нестойкий,1
хер..  Не понравился запах(,1
"п...  Запах слабый, максимум два часа держится, я не доволен.",1
"пздц  Ошибка вышла с ароматом, слишком химозный, прям слишком.",1
Парфюм не очень сучки  Доставка и товар не очень,1
"сучки  Запах вообще не держится, как будто поделка, деньги жалко(",1
бл  Запах нестойкий,1
"Неудачная покупка дерьмо  Качество оставляет желать лучшего. В общем, немного разочарована",1
